vacuum,power
74.16,432.84
62.52,448.37
47.45,447.06
49.21,443.53
61.45,445.21
66.51,441.7
66.86,450.93
49.78,451.44
56.89,441.29
44.85,458.85
43.65,481.46
43.41,467.19
41.58,461.54
52.84,439.08
42.74,467.22
44.34,468.8
71.98,426.93
37.73,474.65
44.21,468.97
71.58,433.97
50.16,450.53
59.04,444.51
40.69,469.03
71.14,466.56
52.05,457.57
59.54,440.13
69.84,433.24
43.72,452.55
71.37,443.29
74.99,431.76
44.78,454.97
63.07,456.7
39.9,486.03
39.96,472.79
57.25,452.03
54.2,443.41
67.32,441.93
70.98,432.64
36.24,480.25
39.63,466.68
40.07,494.39
54.42,454.72
56.85,448.71
42.48,469.76
44.89,450.71
58.79,444.01
58.2,453.2
57.85,450.87
63.86,441.73
39.52,465.09
64.63,447.28
39.33,491.16
62.52,450.98
63.56,446.3
79.74,436.48
42.03,460.84
69.51,442.56
41.49,467.3
40.64,479.13
52.3,441.15
59.04,445.52
40.69,475.4
40.69,469.3
41.62,463.57
68.67,445.32
44.21,461.03
43.13,466.74
59.87,444.04
67.25,434.01
44.9,465.23
69.34,440.6
44.84,466.74
75.6,433.48
40.96,473.59
41.74,474.81
44.06,454.75
49.69,452.94
69.13,435.83
39.22,482.19
44.47,466.66
40.12,462.59
64.63,447.82
41.62,462.73
63.21,447.98
39.31,462.72
58.46,442.42
48.41,444.69
39,466.7
64.63,453.84
67.32,436.92
36.08,486.37
60.07,440.43
63.07,446.82
39.48,484.91
71.64,437.76
68.08,438.91
39.54,464.19
67.79,442.19
47.43,446.86
44.2,457.15
43.65,482.57
41.26,476.03
72.58,428.89
40.23,472.7
52.3,445.6
52.05,464.78
58.95,440.42
70.79,428.41
70.47,438.5
59.43,438.28
40.64,476.29
58.49,448.46
57.19,438.99
39.22,471.8
42.44,471.81
59.14,449.82
68.08,442.14
58.79,441.46
40.22,477.62
61.87,446.76
39.82,472.52
40.71,471.58
72.39,440.85
77.54,431.37
71.97,437.33
40.71,469.22
40.78,471.11
66.51,439.17
62.26,445.33
39.22,473.71
57.76,452.66
59.43,440.99
38.91,467.42
58.82,444.14
56.53,457.17
54.3,467.87
70.72,442.04
44.58,471.36
39.1,460.7
70.83,431.33
76.86,432.6
59.39,447.61
64.79,443.87
52.3,446.87
41.01,465.74
56.89,447.86
62.96,447.65
63.47,437.87
41.66,483.51
41.46,479.65
58.16,455.16
71.25,431.91
41.5,470.68
69.13,429.28
59.21,450.81
73.5,437.73
44.6,460.21
69.05,442.86
45,482.99
65.27,440
41.82,478.48
49.82,455.28
66.56,436.94
37.87,461.06
69.45,438.28
39.58,472.61
70.79,426.85
39.72,470.18
54.42,455.38
66.56,428.32
42.49,480.35
56.53,455.56
58.33,447.66
68.67,443.06
58.86,452.43
41.54,477.81
73.77,431.66
73.91,431.8
68.67,446.67
60.29,445.26
69.89,425.72
72.29,430.58
60.27,439.86
59.15,441.11
71.14,434.72
67.45,434.01
41.17,475.64
41.58,460.44
68.67,436.4
40.73,461.03
41.54,479.08
69.14,435.76
45.51,460.14
75.6,442.2
50.78,447.69
73.67,431.15
63.56,445
73.21,431.59
44.47,467.22
51.43,445.33
45.09,470.57
39.61,473.77
60.29,447.67
40.05,474.29
71.32,437.14
69.05,432.56
41.79,459.14
60.07,446.19
71.77,428.1
44.47,468.46
66.75,435.02
48.6,445.52
40.55,462.69
61.27,455.75
40,463.74
69.68,439.79
58.95,443.26
69.13,432.04
43.96,465.86
45.87,465.6
25.36,469.43
49.3,440.75
38.91,481.32
40.56,479.87
39.16,458.59
71.97,438.62
59.44,445.59
43.56,481.87
41.5,475.01
48.41,436.54
40.66,456.63
62.52,451.69
39.59,463.04
67.71,446.1
59.92,438.67
41.4,466.88
48.41,444.6
59.39,440.26
40.96,483.92
41.2,475.19
44.68,479.24
73.68,434.92
65.46,454.16
58.79,447.58
41.26,467.9
69.13,426.29
45.87,447.02
41.79,455.85
40.22,476.46
68.94,437.48
49.21,452.77
39.33,491.54
64.79,438.41
41.93,476.1
36.99,464.58
40.78,467.74
57.17,442.12
57.5,453.34
69.13,425.29
51.43,449.63
45.78,462.88
42.32,464.67
35.57,489.96
38.08,482.38
77.95,437.95
71.98,429.2
46.63,453.34
70.02,442.47
49.69,462.6
40.96,478.79
52.05,456.11
50.16,450.33
69.88,434.83
73.68,433.43
62.96,456.02
40.67,485.23
37.14,473.57
39.58,469.94
49.83,452.07
41.04,475.32
36.24,480.69
48.06,444.01
56.03,465.17
39.82,480.61
41.5,476.04
49.3,441.76
71.98,428.24
67.71,444.77
45.87,463.1
44.6,470.5
72.99,431
69.4,430.68
67.17,436.42
49.82,452.33
63.94,440.16
63.76,435.75
44.57,449.74
72.24,430.73
77.17,432.75
47.43,446.79
41.39,486.35
59.8,453.18
50.23,458.31
41.54,480.26
51.3,448.65
49.5,458.41
64.69,435.39
50.16,450.21
43.14,459.59
75.6,445.84
48.78,441.08
37.85,467.33
63.09,444.19
68.27,432.96
47.93,438.09
36.99,467.9
43.67,475.72
34.69,477.51
69.84,435.13
39.61,477.9
44.2,457.26
44.6,467.53
41.58,465.15
40.1,474.28
65.71,444.49
45.09,452.84
77.54,435.38
75.33,433.57
69.71,435.27
39.63,468.49
70.8,433.07
73.56,430.63
65.74,440.74
39.96,474.49
48.6,449.74
63.76,436.73
70.79,434.58
43.13,473.93
79.74,435.99
43.22,466.83
68.24,427.22
63.77,444.07
41.49,469.57
66.51,459.89
40.71,479.59
64.69,440.92
41.46,480.87
66.54,441.9
69.68,430.2
42.86,465.16
44.45,471.32
40.64,485.43
40.07,495.35
58.49,449.12
42.02,480.53
50.66,457.07
69.94,443.67
44.68,477.52
39.64,472.95
39.69,472.54
40.71,469.17
70.04,435.21
40.22,477.78
39.85,475.89
40.23,483.9
39.16,476.2
43.34,462.16
37.85,471.05
41.26,484.71
63.86,446.34
42.28,469.02
72.86,432.12
40.1,467.28
69.98,429.66
45.09,469.49
40.56,485.87
40.81,481.95
40.02,479.03
69.13,434.5
54.3,464.9
63.94,452.71
69.51,429.74
56.65,457.09
72.29,446.77
41.48,460.76
40.83,471.95
46.21,453.29
60.07,441.61
46.18,464.73
43.69,464.68
73.91,430.59
77.95,438.01
41.04,479.08
74.78,436.39
65.46,447.07
39.58,479.91
43.02,489.05
53.82,463.17
42.02,471.26
40.67,480.49
39.42,473.78
58.16,455.5
58.41,446.27
41.06,482.2
59.8,452.48
43.14,464.48
69.89,438.1
63.47,445.6
67.79,442.43
61.25,436.67
41.85,466.56
71.14,457.29
36.25,487.03
52.72,464.93
44.63,466
48.79,469.52
70.04,428.88
41.48,474.3
39.31,461.06
39.39,465.57
41.78,467.67
40.71,466.99
39.39,463.72
49.16,443.78
68.28,445.23
40.66,464.43
36.25,484.36
63.07,442.16
39.63,464.11
49.39,462.48
42.49,477.49
65.59,437.04
40.79,457.09
45.01,450.6
45,465.78
70.04,427.1
44.63,459.81
47.43,447.36
39.64,488.92
66.49,433.36
39.04,483.35
41.04,469.53
39.82,476.96
58.46,440.75
43.71,462.55
54.2,448.04
50.59,455.24
40.07,494.75
57.32,444.58
35.79,484.82
66.05,442.9
39.33,485.46
49.5,457.81
43.65,481.92
61.02,443.23
39.69,474.29
71.58,430.46
50.66,455.71
62.26,438.34
41.31,485.83
44.06,452.82
68.94,435.04
59.8,451.21
42.74,465.81
44.92,458.42
39.96,470.22
49.39,449.24
44.92,471.43
44.92,473.26
58.49,452.82
70.32,432.69
60.84,444.13
41.92,467.21
48.6,445.98
73.77,436.91
44.9,455.01
66.56,437.11
40.64,477.06
67.71,441.71
40.07,495.76
66.44,445.63
41.62,464.72
68.94,438.03
72.86,434.78
60.32,444.67
61.41,452.24
45.09,450.92
70.4,436.53
71.77,435.53
68.51,440.01
64.45,443.1
71.94,427.49
68.08,436.25
67.79,440.74
63.31,443.54
51.43,459.42
60.23,439.66
44.84,464.15
56.65,459.1
52.36,455.68
45.51,469.08
41.26,478.02
44.06,456.8
44.89,441.13
43.69,463.88
73.67,430.45
65.71,449.18
48.92,447.89
70.04,431.59
52.3,447.5
41.82,475.58
59.8,453.24
63.21,446.4
44.92,476.81
40.46,474.1
57.76,450.71
66.48,433.62
41.66,465.14
59.87,445.18
39.22,474.12
43.79,483.91
40.27,486.68
43.52,464.98
45.87,481.4
39.04,479.2
41.16,463.86
38.25,472.3
58.84,446.51
51.43,437.71
41.1,458.94
67.17,437.91
39.33,490.76
65.06,439.66
44.9,463.27
39.52,473.99
66.49,433.38
53.82,459.01
40.75,471.44
39.28,471.91
44.47,465.15
51.19,446.66
63.76,438.15
51.19,447.14
43.71,472.32
70.72,441.68
72.99,440.04
64.05,444.82
53.16,457.26
72.58,428.83
43.43,449.07
71.94,435.21
44.2,471.03
48.04,465.56
62.96,442.83
41.48,460.3
40.71,474.25
41.82,477.97
40.46,472.16
46.97,456.08
49.82,452.41
43.22,463.71
67.07,433.72
57.76,456.4
48.98,448.43
36.08,481.6
42.18,457.07
49.39,451
75.6,440.28
71.32,437.47
67.71,443.57
69.84,426.6
41.5,470.87
39.85,478.37
58.66,453.92
40.56,470.22
72.24,434.54
63.9,442.89
36.24,479.03
43.99,476.06
36.71,473.88
57.25,451.75
56.85,439.2
58.46,439.7
46.18,463.6
52.84,447.47
56.89,447.92
44.63,471.08
72.43,437.55
51.3,448.27
72.39,431.69
48.14,449.09
58.46,448.79
44.92,460.21
41.17,479.28
41.82,483.11
54.2,450.75
66.54,437.97
41.48,459.76
44.9,457.75
40.1,469.33
69.75,433.28
70.02,444.64
44.9,463.1
44.68,460.91
39.04,479.35
59.21,449.23
40.92,474.51
72.99,435.02
70.72,435.45
48.14,452.38
39.3,480.41
39.72,478.96
42.74,468.87
76.2,434.01
44.6,466.36
75.23,435.28
43.02,486.46
40.1,468.19
41.01,468.37
41.39,474.19
74.22,440.32
38.44,485.32
42.86,464.27
36.18,479.25
70.32,430.4
58.62,447.49
64.69,438.23
40.43,492.09
40.75,475.36
54.9,452.56
74.67,427.84
68.08,433.95
70.8,435.27
58.59,454.62
40.56,472.17
63.31,452.42
42.02,472.17
41.44,481.83
49.15,458.78
62.08,447.5
49.25,463.4
41.26,473.57
70.32,433.72
66.44,431.85
77.95,433.47
74.22,432.84
70.94,436.6
41.17,490.23
41.74,477.16
68.31,441.06
70.98,440.86
41.82,477.94
40.8,474.47
43.02,470.67
65.34,447.31
44.88,466.8
71.94,430.91
69.88,434.75
42.86,469.52
59.43,438.9
70.04,429.56
74.33,432.92
49.16,442.87
41.76,466.59
41.14,479.61
44.63,471.08
59.14,433.37
65.48,443.92
59.14,443.5
64.79,439.89
69.59,434.66
41.38,487.57
41.62,464.64
42.32,470.92
63.73,444.39
48.6,442.48
52.08,449.61
69.34,435.02
43.99,458.67
46.18,461.74
62.39,438.31
48.92,462.38
44.2,460.56
59.21,439.22
58.79,444.64
71.25,430.34
71.29,430.46
45.87,456.79
41.23,468.82
44.9,448.51
44.71,470.77
41.14,465.74
66.56,430.21
50.32,449.23
49.15,461.89
61.45,445.72
39.39,466.13
51.19,448.71
41.23,469.25
66.86,450.56
39.64,464.46
41.5,471.13
48.06,461.52
59.15,451.09
79.74,431.51
40.83,469.8
51.43,442.28
48.92,458.67
43.79,462.4
59.8,453.54
62.96,444.38
58.9,440.52
69.14,433.62
45,481.96
44.9,452.75
39.42,481.28
66.05,439.03
73.88,435.75
74.16,436.03
58.49,445.6
56.03,462.65
50.05,438.66
50.32,447.32
39.48,484.55
41.01,476.8
39.04,480.34
48.41,440.63
44.6,459.48
40.43,490.78
38.91,483.56
73.18,429.38
59.21,440.27
51.43,445.34
65.27,447.43
69.94,439.91
50.59,459.27
39.61,478.89
41.66,466.7
43.5,463.5
74.33,436.21
63.47,443.94
63.94,439.63
41.54,460.95
59.14,448.69
75.08,444.63
37.83,473.51
39.54,462.56
50.16,451.76
40.43,491.81
68.08,429.52
49.02,437.9
38.73,467.54
64.45,449.97
66.48,436.62
40.55,477.68
63.86,447.26
63.13,439.76
59.39,437.49
58.2,455.14
41.03,485.5
66.93,444.1
70.94,432.33
44.03,471.23
42.34,463.89
51.19,445.54
59.54,446.09
63.86,445.12
59.21,443.31
39.66,484.16
40.69,477.76
71.29,430.28
62.04,446.48
36.66,481.03
47.83,466.07
67.32,447.47
55.5,455.93
40,479.62
47.01,455.06
40.46,475.06
56.85,438.89
69.84,432.7
50.9,452.6
46.21,451.75
71.06,430.66
38.91,491.9
74.78,439.82
39,460.73
60.95,449.7
59.15,439.42
65.06,439.84
35.57,485.86
40.12,458.1
39.82,479.92
56.03,458.29
40.07,489.45
73.42,434
69.13,431.24
47.93,439.5
40.56,467.46
71.58,429.27
58.95,452.1
42.02,472.41
69.05,442.14
49.3,441
41.58,463.07
60.84,445.71
39.81,483.16
68.84,440.45
38.06,481.83
40.62,467.6
52.84,450.88
69.13,425.5
54.42,451.87
69.51,428.94
48.6,439.86
73.42,433.44
73.68,438.23
71.32,436.95
40.56,470.19
40.22,484.66
68.27,430.81
73.17,433.37
48.98,453.02
50.9,453.5
41.23,463.09
44.6,464.56
65.46,452.12
40.69,470.9
64.15,450.89
63.76,445.04
63.07,444.72
40.92,460.38
58.33,446.8
44.06,465.05
40.62,484.13
39.81,488.27
49.21,447.09
58.16,452.02
58.96,455.55
41.92,480.99
41.67,467.68
40,458.76
59.92,437.9
48.92,450.29
41.17,468.72
59.21,445.22
45.51,472.82
59.92,438.22
45.08,469.74
59.43,442.85
37.92,470.59
39.64,477.07
37.73,470.11
44.9,457.44
50.16,450.38
41.1,453.38
64.45,454.9
71.98,431.78
39.81,481.88
34.03,472.69
45.01,461.97
63.73,442.18
71.25,431.92
63.77,444.52
58.41,442.66
57.5,449.01
46.48,452.66
66.44,430.11
65.74,440.54
34.69,481.83
36.71,476.02
60.23,438.99
42.44,473.36
41.01,476.37
42.99,467.9
63.86,442.69
70.04,426.25
63.09,445.58
39.69,459.69
57.32,442.01
44.89,442.38
49.16,442.78
57.85,450.07
48.6,448
38.78,474.15
41.16,467.01
60.27,441.56
60.84,441.9
77.54,438.52
73.03,435.75
54.2,439.96
41.67,456.87
40.56,469.9
56.53,455.34
68.28,446.98
40.1,475.02
46.18,463.03
67.9,428.26
71.14,431.31
59.21,444.16
38.52,468.82
40.77,481.03
58.2,445.91
41.38,474.77
40.8,472.85
39.39,468.6
74.16,438.11
68.3,434.3
72.58,429.03
58.59,452.52
50.66,456.11
39.04,481.53
63.13,443.41
39.58,465.67
40.27,472.84
38.28,466.51
44.9,461.5
43.69,481.34
43.67,467.09
40.56,488.01
54.2,448.1
62.26,448.64
63.94,446.57
46.21,448.66
49.3,440.44
42.77,463.37
40.71,471.68
61.5,436.84
41.35,463.57
69.82,437.38
68.31,440.07
39.3,473.67
42.02,473.96
72.99,437.62
60.23,437.42
68.28,450.22
68.67,435.53
67.71,443.54
47.83,454.23
43.69,471.6
68.51,440.96
52.9,460.82
49.02,440.68
39.82,474.56
58.79,441.51
40.8,479.56
56.65,455.32
74.16,437.18
74.9,436.42
66.05,439.6
69.45,437.04
58.66,448.11
41.23,465.01
40.35,475.54
73.18,432.82
67.69,426.64
42.28,481.95
40.77,482.19
37.64,462.18
64.27,444.9
60.08,452.34
49.39,449.26
77.54,432.82
71.29,444.71
63.87,451.88
77.24,432.88
44.68,462.66
63.87,443.24
65.12,441.22
49.16,436.75
45.87,481.03
71.22,437
68.61,447.57
67.69,430.9
59.21,444.44
40.03,470.88
38.68,487.07
69.88,432.6
48.98,452.52
69.84,437.57
39.18,471.87
69.48,432.31
49.15,457.35
56.9,442.76
40.11,471.13
58.2,444.89
49.39,449.63
43.22,473
50.78,443.3
62.26,433.97
41.26,478.87
46.21,440.87
41.04,468.81
52.9,458.46
45.09,457.54
42.34,462.21
41.16,462.56
61.02,437.5
70.32,434.24
52.84,440.2
58.96,460.25
51.19,443.57
73.67,429.28
43.71,472.59
45.17,462.09
48.6,460.63
52.84,438.97
38.91,474.35
69.13,425.98
39.54,469.28
47.45,446.3
41.14,481.02
42.86,471.64
45.87,480.97
69.75,442.57
38.56,481.3
69.98,435.36
70.47,441.92
77.95,432.98
44.06,451.4
49.25,453.99
39.42,488.58
68.24,428.52
66.86,456.56
37.85,469.89
46.18,462.26
43.79,464.41
41.17,489.62
38.73,465.76
69.59,436.89
44.58,468.35
40.92,460.95
54.9,454.23
49.64,463.58
44.85,466.17
52.3,448.13
64.69,435.09
62.66,448.8
70.32,431.82
61.5,437.35
41.44,478.99
36.08,483.58
44.88,468.53
63.09,449.36
37.5,473.1
49.16,439.65
70.02,447.29
45,479.69
44.2,471.65
43.13,485.04
68.12,438.53
69.05,437.42
40.71,469.31
43.72,459.31
44.68,458.87
73.42,430.46
38.38,482.26
73.17,430.8
67.83,429.46
59.87,448.6
41.62,462.87
39.99,484.04
70.32,432.57
71.14,432.46
39.63,465.78
42.42,462.19
74.22,430.38
38.28,469.93
60.29,449.57
68.94,427.06
54.2,439.47
50.05,442.97
41.66,469.71
39.04,484.14
58.79,449.66
68.27,426.67
39.96,470.8
43.65,484
38.73,465.7
44.58,473.17
63.94,440.81
66.25,437.55
41.93,468.43
66.48,436.65
73.42,445.42
49.39,459.38
70.32,440.67
44.99,459.73
68.08,442.93
56.65,457.17
66.54,430.18
42.86,466.64
72.43,430.32
44.06,461.38
63.13,441.91
43.7,464.01
68.67,447.01
60.93,436.71
63.09,448.34
65.61,451.85
59.8,451.64
35.77,480.36
39.72,457.26
77.3,434.68
71.64,438.76
69.34,437.65
65.12,446.91
49.25,452.94
44.06,464.91
78.92,432.67
70.32,432.5
50.59,453.8
64.33,440.29
66.49,436
53.82,462.69
47.83,458.18
53.16,458.01
41.35,466.85
71.8,438.55
63.86,441.6
40.8,476.28
44.58,461.96
66.51,440.04
67.25,453.27
41.39,469.6
40.6,483.57
38.5,489.26
42.34,469.3
71.06,432.6
52.05,464.82
37.14,474.37
41.31,489.38
75.6,440.87
44.6,466.06
41.1,455.04
69.05,429.53
71.97,430.53
75.08,439.22
44.85,464.27
34.03,470.46
48.92,443.8
64.05,438.68
50.78,449.08
57.17,448.75
74.9,433.32
42.18,458.46
44.05,450.31
43.56,485.21
44.21,469.09
44.57,449.93
46.18,459.4
43.56,465.84
68.08,432.82
69.98,432.44
63.09,453
35.57,486.8
35.79,482.79
69.14,433.82
63.86,445.02
64.69,438.08
59.27,445.19
45.87,482
50.32,445.31
47.03,461.02
37.49,480.38
50.32,444.74
71.29,432.92
57.5,449.48
41.39,478.52
49.02,438.53
69.75,435.7
71.06,431.87
44.9,464.25
39.33,490.41
40.46,476.72
50.05,444.43
58.59,445.45
72.99,436.64
35.79,482.25
65.06,451.46
40.64,478.08
69.51,450.99
39.39,471.44
42.77,462.29
44.68,474.7
39.85,479.32
73.18,437.7
56.51,449.24
45.51,469.27
36.71,475.85
40.1,474.97
39.28,471.23
47.03,460.57
42.67,446.95
58.59,452.18
69.4,436.04
44.58,462.01
42.23,461.78
70.98,440.81
68.14,437.63
58.79,442.86
43.14,466
39.37,487.3
48.41,441.83
63.56,440.8
45.51,469.69
68.12,443.39
66.51,437.21
49.5,464.13
52.84,444.64
57.76,458.66
39.52,469.47
68.63,446.36
59.21,440.5
77.17,437.65
66.48,431.87
63.94,440.32
42.67,440.69
59.44,441.29
66.51,458.73
63.56,443.82
50.05,439.63
58.59,455.3
77.95,435.96
54.3,466.52
69.71,435.59
66.49,455.18
67.17,443.43
42.99,471.12
41.4,478.12
39.85,475.62
59.87,441.94
59.57,440.08
35.47,489.64
74.33,426.53
58.79,447.01
48.92,455.53
44.63,455.22
40.83,470.37
58.33,439.14
54.2,440.74
40.8,485.06
47.93,441.29
63.9,447.29
40.89,467.3
71.97,430.23
42.02,472.64
39.96,468.96
41.44,477.18
69.05,426.61
69.94,440.69
64.45,450.67
71.58,436.77
56.53,447.66
58.59,457.74
41.38,474.46
36.08,486.39
60.37,436.23
41.67,459.81
41.14,469.73
58.79,442.78
63.31,450.68
39.39,470.23
49.69,454.59
40.77,478.85
69.59,437.29
58.66,450.92
39.81,483.59
38.91,479.15
35.77,479.68
50.05,442.85
41.93,480.01
41.46,481.46
68.08,445.25
42.32,477.57
58.66,450.69
43.14,465.45
66.75,433.9
45.87,479.48
38.52,439.21
59.14,436.16
73.67,437.43
40.03,480.38
43.79,481.12
41.26,477.51
51.43,459.12
51.43,439.12
63.94,449.02
43.67,465.54
69.23,443.85
40.77,480.48
60.27,446.31
71.94,430.28
73.06,435.41
71.94,432.49
69.82,438.44
65.06,446.98
70.47,434.94
41.54,459.06
44.89,443.18
50.9,457
77.95,431.28
40.27,476.18
40.73,472.32
63.09,449.65
42.86,463.62
38.18,474.07
40.55,472.37
45.09,454.74
39.9,491.22
59.21,450.26
39.31,460.59
40.8,483.43
61.87,448.49
51.86,449.81
41.2,474.26
43.7,481.52
59.21,438.39
63.94,450.55
44.05,451.7
76.86,430.62
42.32,467.98
39.64,485.2
41.17,475.53
41.26,470.27
36.3,479.86
49.69,453.54
69.98,429.86
56.65,455.79
68.27,432.66
67.32,435.39
69.89,426.15
72.29,443.79
74.33,435.21
67.69,430.62
64.27,450.82
40.83,470.13
68.08,434.11
69.71,437.7
71.77,432.8
67.9,432.97
41.04,477.69
61.86,441.48
79.74,431.41
45.87,443.66
66.25,437.35
43.13,483.63
58.86,455.15
40.22,477.5
67.71,445.12
65.34,446.68
39.35,478.52
38.5,491.23
69.23,437.55
39.72,456.27
37.92,473.16
40.66,455.85
60.77,443.97
71.8,436.94
37.8,483.49
62.1,453.4
44.2,469.02
69.94,445.91
36.71,472.81
44.06,462.05
39.96,477.12
39.53,457.17
59.21,445.33
58.59,451.03
42.18,477.38
57.85,445.1
65.38,450.5
42.04,464.14
50.32,446.22
35.76,473.33
39.53,456.28
41.46,478.03
41.14,478.34
77.95,437.91
60.84,446.08
40.92,461.05
70.32,430.29
39.99,461.7
75.33,431.79
67.07,441.45
65.74,441.65
67.83,429.95
41.54,476.12
40.6,483.1
41.66,465.82
54.3,468.1
52.36,453.54
41.17,484.2
59.15,450.96
65.18,437.39
40.1,470.92
44.57,450.54
41.44,479.89
66.54,449.22
68.94,434.51
72.58,428.62
41.66,465.64
64.79,439.6
72.99,433.18
41.4,479
44.84,462.81
73.42,432.26
39.61,478.34
63.47,442.94
41.4,449.5
39.72,456.87
40.27,474.93
50.78,449.96
69.48,428.75
41.26,475.21
44.57,447.88
44.21,469.12
60.93,439.9
52.75,459.48
44.9,470.59
41.76,464.23
67.32,449.21
64.27,444.54
70.72,445.66
41.92,463.81
71.94,432.27
48.78,450.35
59.27,441.64
65.46,448.49
63.94,441.44
43.77,449.88
41.17,486.76
65.61,449.91
41.67,465.66
41.55,475.44
50.66,457.74
51.19,449
74.9,435.87
60.77,441.21
40.22,482.3
40.81,473.2
72.43,439.39
69.13,427.5
57.19,435.7
53.29,463.32
60.23,438.24
40,454.14
67.69,430.67
35.76,480.8
64.79,438.4
72.24,434.36
66.54,447.16
42.18,456.61
44.03,476.25
72.99,433.24
73.17,438.22
68.3,431.27
71.85,427.95
65.94,448.77
69.04,444.13
44.78,465.57
59.39,445.41
39.64,481.78
74.9,432.43
57.76,455.13
68.61,450.54
59.92,436.06
73.18,429.92
69.84,427.53
40.22,482.8
40.64,476.62
69.84,437.49
43.41,471.42
75.6,439.68
68.51,430.23
44.71,463.05
42.85,477.78
62.4,444.69
50.32,447.06
40.03,472.65
69.94,438.92
41.62,460.6
39.16,473.87
68.12,437.62
70.4,434.01
47.43,452.53
45.08,465.07
67.69,430.72
42.8,460.26
59.21,440.03
59.92,444.96
45.87,483.27
40.46,475
69.13,432.71
41.1,467.99
43.99,475.01
48.41,442.23
60.95,450.38
60.08,452.31
65.48,443.31
72.51,443.72
40.02,476.45
45.87,458.69
41.31,486.6
38.38,475.58
54.9,453.94
43.02,483.55
69.34,439.46
49.15,459.81
63.77,441.97
40.83,469.86
72.86,432.51
66.56,439.31
56.9,439.51
45.51,469.79
39.9,484.21
39.54,481.44
41.76,464.3
42.28,463.83
70.32,427.2
37.85,467.71
36.71,472.62
76.2,434.68
41.03,489.64
41.16,465.16
43.02,484.82
68.94,425.61
39.04,483.87
72.39,430.24
38.73,468.86
74.93,443.78
44.9,456.07
65.27,437.84
72.86,432.75
39.35,469.83
44.6,460.17
63.09,451.37
64.84,442.11
48.41,441.21
43.71,466.39
39.85,476.42
41.76,463.6
73.9,436.56
60.23,445.25
68.67,442.29
66.44,435.79
36.3,480.4
44.2,456.36
67.07,433.15
40.75,474.26
71.14,471.99
44.78,463.46
70.02,442.2
66.25,444.93
46.18,458.05
43.22,478.55
38.56,482.37
39.58,467.77
67.32,437.18
38.73,472.46
43.79,468.87
39.28,475.59
67.79,449.04
61.27,454.57
61.27,448.68
44.6,462.07
63.91,442.5
73.67,427.15
45.38,461.99
41.58,464.02
74.78,436.87
69.88,433.5
41.54,479.33
71.58,434.82
44.06,454.59
38.73,465.99
41.31,485.57
41.4,477.65
51.3,452.5
49.02,445.65
40.69,484.94
42.8,459.9
46.97,456.77
44.57,444.65
74.93,442.23
60.37,438.09
60.1,452.93
37.92,474.63
46.18,462.3
48.92,448.25
79.74,431.29
38.06,484.14
59.21,442.31
39.72,452.39
56.57,445.44
39.59,464.63
40.81,474.36
